Title,Year,Abstract
Do Psychological Characteristics of Mothers Predict Parenting Stress? A Cross-Sectional Study among Mothers of Children with Different Disabilities,2018,"BACKGROUND/OBJECTIVE: We aimed at assessing the  stress levels among mothers of  with different disabilities and its association with various mothers' psychological characteristics. METHODS: In this cross-sectional , 302 mothers of 6-12 years old  suffering from sensory motor mental, chronic physical and psychological disabilities were enrolled.  stress, coping stratyles, marital satisfaction and psychological problems of mothers were assessed using validated questionnaires. RESULTS: In this , mothers of 302  with sensory-motor mental (n = 64), psychological (n = 149) and chronic physical (n = 89) disabilities were investigated. Mean total score of  stress was significantly higher in mothers of  with psychological disabilities (F = 4.285, P < 0.05). There was positive significant relationship between emotion oriented coping  and  stress scores (beta = 0.56, P < 0.05).  stress had significant negative association with marital satisfaction (beta = -0.3, P < 0.001). CONCLUSIONS: Our findings indicated different  stress levels among mothers of  with different disabilities. Mother's psychological characteristics such as marital satisfaction, psychological problems and coping  are significant determinants of  stress. These findings provide baseline information for designing future interventional studies and developing more effective approaches for managing the  stress."
Authoritarian parenting predicts reduced electrocortical response to observed adolescent offspring rewards,2017,"  are robust predictors of offspring outcomes, yet little is known about their neural underpinnings. In this , 44 -adolescent dyads (M-age of adolescent = 12.9) completed a laboratory guessing task while EEG was continuously recorded. In the task, each pair member received feedback about their own monetary wins and losses and  observed the monetary wins and losses of the other member of the pair. We examined the association between self-reported   and s' electrophysiological responses to watching their adolescent winning and losing money, dubbed the observational Reward Positivity (RewP) and observational feedback negativity (FN), respectively. Self-reported authoritarian  predicted reductions in s' observational RewP but not FN. This predictive relationship remained after adjusting for sex of both participants, s' responsiveness to their own wins, and al psychopathology. 'Exploratory analyses found that permissive  was associated with a blunting of the adolescents' response to their s' losses'. These findings suggest that s' rapid neural responses to their 's successes may relate to the harsh  behaviors associated with authoritarian ."
Relation between suicidal ideation and parenting styles among a group of Chilean adolescents,2011,"Background: In Chile, there has been an increase in suicide rates from 1.1 to 2.6 per 100,000 among adolescents aged 10 to 14 years and from 4.4 to 8.9 per 100,000 among those aged 15 to 19 years Aim: To identify protective factors for suicidal ideation according to  , as described by Barber et al. Material and Methods: The relation between suicidal ideation and   was assessed in a random sample of 2,346 Chilean school attending adolescents aged 13 to 20 years old (59% women) from three cities: Antofagasta (Northern Chile, II Region), Santiago (Central, Metropolitan Region) and Concepcion (Southern, VIII Region). Participants were tested with the Chilean adaptation of the Cross National Adolescents Program (CNAP) Plus questionnaire developed by Barber et al. The relation between suicidal ideation and   was assessed using regression analyses. Results: Correlations between suicidal ideation and   were mostly significant, yet weak. High odds ratios were observed among s who had a strong psychological control, inconsistent control, lack of expression of affection and covered marital hostility. Conclusions: High adolescent self-esteem, a good relationship with s, psychological al autonomy, expression of physical affection, social support and paternal monitoring were protective factors against suicidal ideation. (Rev Med Chile 2011; 139: 1529-1533)."
Exploring Parenting as a Predictor of Criminogenic Thinking in College Students,2014,"Crime-promoting cognitions and attitudes, globally labeled as criminogenic thinking, are shown to perpetuate maladaptive and antisocial behavior in criminals and nonoffenders. In the nonoffender population, these thinking patterns may not lead to illegal behavior, but can  in irresponsible or maladaptive behavioral consequences. Theories suggest that early hood - interactions may be partly responsible for the development of criminogenic thinking. While the relationship between  and antisocial behavior is well documented, the connection between  and the development of criminogenic thinking  has not yet been explored. The current  examined the nature of the relationship between exposure to  behaviors and subsequent criminogenic thoughts in a nonoffender, college population. The sample included 119 undergraduates. Results indicate that  may affect general criminogenic thinking as well as specific types of criminogenic thinking . Relevance and importance of the findings with regard to clinical work and  are  discussed."
"PERFECTIONISM, PARENTAL STYLES AND SUBJECTIVE WELL-BEING",2013,"The purpose of the  is to examine the relationship between perfectionism, perceived al , depression and satisfaction of life. The  reveal that the authoritarian   is significantly positive associated with depression. The permissive   is significantly negative associated with depression. The authoritative   is significantly positive associated with satisfaction of life. The dysfunctional components of perfectionism are significantly positive associated with depression and negative with satisfaction of life. The regression analysis shows that the development of dysfunctional perfectionism is predicted by authoritarian  . The finding of   can be helpful for psychological counseling for students with dysfunctional perfectionist tendencies."
Why do Adolescents Gather Information or Stick to Parental Norms? Examining Autonomous and Controlled Motives Behind Adolescents' Identity Style,2010,"Self-determination theory (SDT) distinguishes between autonomous and controlled reasons for people's behavior and essentially states that beneficial effects for individuals' psychosocial adjustment will accrue when behavior is guided by autonomous (rather than controlled) motives. The   tested this assumption in the area of adolescents' identity . In a sample of mid-adolescents (N = 247; 53% female), it was found that the motives for using an information-oriented or a normative identity  explained additional variance beyond the identity  as such in two of the adjustment outcomes examined. Specifically, autonomous motives underlying these two identity  were positively related to commitment and personal well-being, whereas controlled motives were negatively related to these same adjustment outcomes. Perceived autonomy-supportive  was examined as a possible antecedent of the motives behind identity . Consistent with hypotheses, it was found that autonomy-supportive  was positively related to autonomous motives and negatively to controlled motives underlying identity . Implications for future  on the motivational dynamics behind identity development are discussed."
"Adult Attachment, Implicit Motives, and Mothers' and Fathers' Parenting Behaviors",2019,"The current  investigated connections between implicit motives of power and affiliation, adult attachment , and  behaviors using self-report and observational data from 191 mothers, fathers, and their 12-month-old infants. An interaction between avoidant attachment and nAffiliation indicated that implicit affiliation motives predicted positive maternal behaviors, but only for highly avoidant mothers. For fathers, lower attachment anxiety and nPower were associated with positive  behaviors, whereas high levels of attachment anxiety and nPower were associated with negative  behaviors. Attachment  of avoidance and anxiety, as well as implicit motives of power and affiliation, were unique predictors of  behaviors. Overall, the findings suggest that  behaviors in the first year of infancy are predicted by s' working models of attachment and implicit motives of affiliation and power."
Parenting and Child Behaviour Barriers to Managing Screen Time With Young Children,2021,"The impact of excessive screen use on  health and development is now a public health concern, and  efforts are focused on finding ways to moderate screen use. To date, the focus has mainly been on school-aged  and adolescents, and the early hood context has been comparatively neglected. Moreover, relationships between factors likely to influence screen use by young  (e.g.,  behaviour,   and self-efficacy) remain largely unexplored. Our  aimed to test relationships between  , s' self-efficacy, al distress,  behaviour, and young 's screen time. We used a cross-sectional  design. s (N = 106) of young  (aged 0-4 years) living in Australia completed an online survey which assessed -reported  screen use, screen time-related  behaviour problems, s' self-efficacy for managing  behaviour and screen time, s' beliefs about the positive/negative effects of screen time,  , general  adjustment and  efficacy, and  distress. Correlation coefficients revealed relationships between dysfunctional  , screen time-related  behaviour problems, and  self-efficacy for dealing with these behaviours. Using hierarchical multiple regression models, 's screen time behaviour problems explained the greatest variance in s' self-efficacy for managing screen time, and s' self-efficacy for managing  screen time explained the greatest variance in -reported  screen time. Further  is needed to disentangle these relationships; however, preliminary  suggest that  behaviour difficulties and s' self-efficacy warrant further investigation as potentially useful targets for interventions aiming to improve screen use in early hood."
Parenting practices among parents of  with attention-deficit/hyperactivity disorder: Gender-related differences,2020,"Objective: Further  is needed on  practices among s of  with attention-deficit/hyperactivity disorder (ADHD), as these practices impact 's development and outcomes. This  analyzes these practices, distinguishing between s' and 's gender. Method: al warmth (affection-communication and criticism-rejection responses) and control (inductive, strict, and indulgent discipline ) were assessed in both s of 81  diagnosed with ADHD (aged 6-17 years). Results: Mothers reported greater affection-communication responses and use of inductive disciplinary practices than fathers. Higher use of maternal strict practices was associated with female , regardless of their age, subtype, medication, or comorbidities. However, al practices used with male  were affected by 's age and subtype. Conclusions: Warmth levels and discipline  used by s of  with ADHD may differ depending on the gender of both s and . The implications of these findings for understanding gender differences associated with ADHD are discussed."
Parenting and Women Arrested for Intimate Partner Violence,2010,"Exploring the relationship between  and women's use of violence the current  surveyed 106 mothers arrested for intimate partner violence (IPV) related crimes on   and attitudes toward when using violence against their partner is justified. Findings indicate   indicative of low belief in using physical discipline with their /  and an internal al locus of control. However, a moderate to weak relationship between   and justification for using violence against a partner was  found. Although some support for the spillover theory is noted,  are far from conclusive."
"Exploring Correlation Between Perceived Parenting Styles, Early Maladaptive Schemas, and Depression Among Women With Depressive Symptoms in Iran and India-Role of Early Maladaptive Schemas as Mediators and Moderatos",2014,"Background: Many studies have reported that inadequate al  can contribute to depressive symptoms through dysfunctional cognitive . Objectives: This  aimed to investigate the association of dysfunctional schemas and   with depression, as well as the role of maladaptive schemas such as moderators and mediators in Iran and India. Patients and Methods:: The  sample was selected randomly and consisted of 200 (age group 16-60 y) depressed females (mild to moderate); 100 from Tehran (Iran) and another 100 from Pune (India). The type of the  was causal-comparative. The data collection took place in hospitals and clinics in the targeted cities. Descriptive statistic tests and hierarchical multiple regression were executed (for the purpose of analyzing data) by SPSS 17. Results: It was demonstrated that the association between  and depression was not moderated by early maladaptive schemas. On the contrary, the  supported meditational models in which   are associated with the cognitive schemas, and these in turn are related to depressive symptoms. It was  found that abandonment mediates the impacts of maternal  on depression in Iran. On the other hand, abandonment and punitiveness schemas mediated the relation between paternal  and depression in India. Conclusions: These findings suggest that the correlation between hood experiences and depression in adulthood are mediated by dysfunctional schemas."
Parenting style and conduct problems in : A report of deliberate self-poisoning in a Nigerian ,2011,A correlation between unhealthy   and  psychopathology has been established. This case report describes how chronic harsh paternal  caused a young boy to deliberately poison himself with organophosphate chemicals (rat poison). This report is intended to stimulate the interest of physicians and psychiatrists in    and in how   modification can be a therapeutic and preventive tool.
Children With Cochlear Implants and Their Parents: Relations Between Parenting Style and Children's Social-Emotional Functioning,2017,"Objectives:  a  who has a severe or profound hearing loss can be challenging and at times stressful, and might cause s to use more adverse   compared with s of hearing .   are known to impact 's social-emotional development. Children with a severe to profound hearing loss may be more reliant on their s in terms of their social-emotional development when compared with their hearing peers who typically have greater opportunities to interact with and learn from others outside their family environment. Identifying the impact which   pertain on the social-emotional development of  who have cochlear implants (CIs) could help advance these 's well-being. Therefore, the authors compared   of s with hearing  and of s with  who have a CI, and examined the relations between   and two key aspects of 's social-emotional functioning: emotion regulation and empathy. Design: Ninety-two hearing s and their  (aged 1 to 5 years old), who were either hearing (n = 46) or had a CI (n = 46), participated in this cross-sectional . s completed questionnaires concerning their   (i.e., positive, negative and uninvolved), and regarding the extent to which their  expressed negative emotions (i.e., anger and sadness) and empathy. Furthermore, an emotion-regulation task measuring negative emotionality was administered to the . Results: No differences in reported   were observed between s of hearing  and s of  with a CI. In addition, negative and uninvolved   were related to higher levels of negative emotionality in both groups of . No relation was found between positive  and 's social-emotional functioning. Hearing status did not moderate these relationships. Language mediated the relationship between   and 's social-emotional functioning. Conclusions: Children's hearing status did not impact  . This may be a  of the support that s of  with a CI receive during their enrollment in the rehabilitation program preceding and after implantation. Rehabilitation programs should dedicate more attention to informing s about the impact of  behaviors on 's social-emotional functioning. Offering  courses as part of the program could promote 's well-being. Future longitudinal  should address the directionality of the relations between   and 's social-emotional functioning."
Parenting practices among Dominican and Puerto Rican mothers,2007,"This  s descriptive qualitative data about Latino  practices in an urban context. Focus groups were conducted with Dominican and Puerto Rican mother-adolescent pairs in the Bronx borough of NewYork City. When   typologies are integrated with the Latino cultural components familismo, respeto, personalismo, and simpatia, Latino  practices and their underlying  are better understood. Content analysis of s' focus groups revealed five essential Latino  practices: (1) ensuring close monitoring of adolescents; (2) maintaining warm and supportive relationships characterized by high levels of -adolescent interaction and sharing; (3) explaining al decisions and actions; (4) making an effort to build and improve relationships; and (5) differential  practices based on adolescents' gender. Mothers reported concerns related to the risks associated with living in an urban area, exposure to different cultural values, and opportunities for engaging in risky behaviors. Adolescents' recommendations for effective  strategies were similar to the practices reported by their mothers. The  has important applied implications for culturally competent social work practice with Latino adolescents and their families."
Influence of paternal general parenting on Latino early adolescents' energy balance-related behaviours and interactions with behaviour-specific parenting practices,2021,"Objective: To investigate the influence of general  dimensions on adolescents' energy balance-related behaviours (EBRB) and its interactions with behaviour-specific  practices based on Darling and Steinberg's contextual model of  . Design: Multiple linear regression analyses and the Hayes PROCESS procedure to analyse self-reported cross-sectional survey data. Setting: In-person survey. Participants: Latino early adolescents and their fathers (n 225 dyads) recruited using convenience sampling from metropolitan areas of north-central USA. Results: Both paternal  dimensions of warmth and autonomy granting were positively associated with adolescents' fruit intake, vegetable intake and physical activity. Coercive control was positively associated with adolescents' sugary drink intake and sweets/salty snack intake. These associations were predominantly mediated by the  practices of setting expectations/allowances, role modelling, and managing availability and accessibility for corresponding EBRB. After adjusting for  practices, paternal warmth was inversely associated with adolescents' screen time, paternal autonomy was positively associated with sugary drink intake, and both paternal warmth and autonomy granting were positively associated with adolescents' fast food intake. In addition, positive associations between fathers'  practices and adolescents' sugary drink intake were significantly stronger among those who perceived high v. low levels of paternal warmth and autonomy granting. Conclusions: Paternal warmth and autonomy granting showed mixed effects on adolescents' EBRB, and coercive control showed undesirable relationships with adolescents' dietary intake via interactions with behaviour-specific  practices. Life intervention programmes for Latino adolescents need to consider incorporating paternal  education components."
Coddling Our Kids: Can Parenting Style Affect Attitudes Toward Advergames?,2013,"This  examined s' understanding of and experience with -targeted advergames through exploratory interviews and quantitative pretests of an advergaming definition. Exploratory findings revealed that s tended to overgeneralize when identifying advergames. Through the use of an online survey, this   examined how al socialization  affect s' attitudes toward advergames. As predicted,  indicate that authoritarian and authoritative s hold more negative perceptions toward advergames compared to indulgent s, while all   exhibited negative leanings toward advergaming as a practice. These findings indicate the efficacy of al socialization theory in explaining s' perceptions and attitudes toward this new form of advertising-advergames. We discuss important implications for regulators, practitioners, and s."
"Relations of perceived maternal parenting style, practices, and learning motivation to academic competence in Chinese ",2008,"A measure of academic  practices was developed through  and teacher interviews and subsequently, administered to 91 Hong Kong Chinese fifth graders, who  rated their mothers' restrictiveness and concern, school motivation, and self-perceived academic competence. Children's actual school grades were obtained from school records. The new measure of  practices exhibited satisfactory factorial validity and reliability. Perceived   of concern and restrictiveness, although theoretically independent, were highly associated. Perceived maternal practices of support and encouragement explained unique variance in 's learning motivation, Achievement demands, together with restrictive  , explained 's actual academic performances. Children's mastery motivation, but not maternal socialization practices and , explained 's perceived competence. Findings are in line with existing models of family interaction (e.g., Kagitcibasi, 2005) and underscore the importance of specific  practices as well as general   in explaining different socialization outcomes in  (Darling & Steinberg, 1993)."
Perceptions of Differential Parenting between Southern United States Mothers and Fathers,2018,"Little  has examined how  practices may differ in various regions of the United States, specifically the South. The current  used a Southern United States sample to replicate prior  done in Central Florida, a proximal yet distinct region. Participants included 4900 emerging adults attending a Southern United States university who were aged 18 to 25 years (M = 18.87; SD = 1.22) and identified themselves as female (66.6%), male (33.4%), Caucasian (74.8%), African American (20.2%), Asian (1.9%), Latino (1.2%), or Other (1.9%). Participants answered questionnaires regarding their perceptions of maternal and paternal   and their own internalizing and externalizing problems using an online survey. Results indicated that perceptions of   across region varied as a function of  gender, such that s, particularly mothers, were more authoritarian in the Southern sample. Moreover, latent profile analysis produced two perceived mother-father dyad  profiles: (1) congruent maternal and paternal   and (2) a high authoritative and authoritarian mother coupled with an extremely high authoritarian and authoritative father. Emerging adults, especially males, reported higher externalizing problems in profile 1 and internalizing problems showed the same non-significant trend. The combination of high perceived authoritative and authoritarian  found in profile 2 along with lower associated externalizing problems strongly suggests that context plays a significant role in how  is associated with outcomes."
Interaction Between Parenting Styles and Adrenarcheal Timing Associated With Affective Brain Function in Late Childhood,2018,"Objective:  and pubertal timing have consistently been associated with internalizing and externalizing symptoms in hood and adolescence, and there is some evidence that the interaction between these factors may be important in conferring risk. However, few studies have investigated whether neurobiological factors mediate these relationships. The current  examined whether interactions between adrenarcheal timing and   were associated with affective brain function and, in turn, mental health difficulties. Method: Participants were 88 healthy  (46 female and 42 male, mean age 9.42 years, SD = 1.08 years), with 45 classified as relatively early and 43 as relatively late in adrenarcheal development based upon adrenal hormone levels. Participants completed an affective face functional magnetic resonance imaging task, and s reported on 5   and on  internalizing and externalizing symptoms. Results: Negative   (corporal punishment and poor monitoring) were associated with brain hemodynamic response while viewing affective faces in several subcortical and lateral prefrontal regions, and adrenarcheal timing and/or sex moderated most of these relationships. Sex differences in associations between corporal punishment and brain activation to affective faces indicated that late females might show less adaptive affective neural function when more exposed to this  . Conclusion: Findings suggest that the interaction between   and adrenarcheal timing is associated with affective brain function in late hood, with marked sex differences. Further longitudinal  with larger samples is needed to corroborate and expand upon these findings."
An Evaluation of the Efficacy of a Triple P-Positive Parenting Program Podcast Series,2014,"Objective:  programs based on cognitive-behavioral and social learning principles are effective in changing  behavior problems and  . However, such programs typically have limited population reach. The current  aimed to evaluate the efficacy of a brief radio series that provided  advice based on the Triple P-Positive  Program. Method: One hundred thirty-nine s of  aged 2 to 10 years who had concerns about their 's behavioral and/or emotional adjustment were recruited, randomly assigned to either an intervention or waitlist control group, and completed online self-report measures. s in the intervention group were given access to seven Triple P podcasts online over a period of 2 weeks. Results: s in the intervention group improved significantly more than s in the control group, from pre- to postintervention, on measures of  behavioral problems and  , self-efficacy, and confidence. These short-term intervention effects were maintained at the 6-month follow-up. Conclusion: These  suggest that brief radio and online  programs can be effective and have the potential to reach a large proportion of s experiencing  behavior problems. Limitations, clinical significance, and future  suggestions are discussed."
Understanding the association between authoritative parenting and adolescent smoking,2006,"Background: Research on adolescent cigarette smoking has attempted to measure the role of s in preventing smoking experimentation and uptake. However, aspects of al influence have often been limited to al smoking behavior or antismoking socialization. Only a limited number of studies considered the hypothesis that the influence of  on adolescent current cigarette smoking may extend beyond al behavior and antismoking socialization to consider broader measures of the - relationship, such as  . Methods: The sample was nationally reative and included 17,287 high school students nationwide. Data were used to categorize the  -authoritative, permissive, autocratic, and unengaged-experienced by each respondent. Logistic regression analysis was used to assess the association between   and adolescent current cigarette smoking. Results: Authoritative  was associated with a reduction in the odds of adolescent current cigarette smoking (OR: 0.74, 99% CI: 0.58, 0.95). When authoritative  is simultaneously considered with believing s' opinions about smoking are important, authoritative  was no longer a significant correlate of adolescent current cigarette smoking, while believing s' opinions about smoking are important was associated with a 45% (99% CI: 0.48,0.64) reduction in the odds of adolescent current cigarette smoking. Authoritative  was associated with a more than three-fold increase (OR: 3.65, 99% CI: 2.87, 4.66) in the odds of believing s' opinions about smoking are important. Discussion: Interventions may want to educate s about authoritative , which includes the importance of having appropriate and routine conversations with their , requiring chores, and implementing general rules and boundaries."
Early parenting and 's relational and physical aggression in the preschool and home contexts,2006,"This  investigated early - relationships and how 's use of relational and physical aggression varies with aspects of those relationships during the preschool years. Specifically,  , s' use of psychological control, and s' report of their 's reunion behaviors were assessed. Analyses revealed significant associations between 's use of both relational and physical aggression and s' reports of their own and their partner's  , psychological control behaviors, and indicators of the attachment relationship. The  highlight the importance of investigating both mothers' and fathers'  and the sex of the  in studies of potential links between  behaviors and young 's relational and physical aggression. Findings were considered in the context of each perspective and suggestions for future  and implications for intervention and prevention are discussed. (c) 2006 Elsevier Inc. All rights reserved."
Distal and proximal parenting as alternative parenting strategies during infants' early months of life: A cross-cultural study,2009,"Cultures differ with respect to  strategies already during infancy. Distal , i.e., face-to-face context and object stimulation, is prevalent in urban educated middle-class families of Western cultures; proximal , i.e., body contact and body stimulation, is prevalent in rural, low-educated farmer families. s from urban educated families in cultures with a more interdependent history use both strategies. Besides these cultural preferences, little is known about the relations between these  as well as the behavioural systems constituting them. In this  therefore, the relations between the  and the constituting behaviours were analysed in samples that differ with respect to their preferences of distal and proximal . The hypothesized differences between the samples and the negative relationship between distal and proximal , as well as between the respective behavioural systems can clearly be demonstrated. Furthermore, the impact of the sociodemographic variables with respect to the  strategies can be shown. Results were discussed as supporting two alternative  strategies that serve different socialization goals."
"Parenting Practices and Child Behaviour Problems in Hong Kong: Knowledge of Effective Parenting Strategies, Parenting Stress, and Child-Rearing Ideologies",2016,"The   examined the effects of knowledge of effective  strategies,  stress and Chinese -rearing ideologies, on  practices and  behaviour problems among Hong Kong Chinese s. s of  aged between 2 and 10 years were recruited through a selection of kindergartens and primary schools across Hong Kong. A total of 106 Hong Kong Chinese s (76 % mothers and 24 % fathers) participated in the  by completing an online questionnaire. s ranged in age from 25 to 53 years (M=37.25; SD=5.65). Key outcome measures examined in the   include al nurturance, dysfunctional  and  behaviour problems. Findings revealed that  stress was the strongest predictor of al nurturance, dysfunctional  and  behaviour problems. Chinese -rearing ideologies did not predict any al behaviour or  behaviour. The theoretical and practical implications of the findings are discussed."
Mindfulness In Parenting Questionnaire (MIPQ): Development and Validation of a Measure of Mindful Parenting,2017,"The aim of the   was to develop and psychometrically evaluate a measure of mindful  (the Mindfulness In  Questionnaire (MIPQ)) for use with s of  and adolescents, ranging in age from 2- to 16-years-old. Content experts assisted in item development, and cognitive interviewing was used to revise the measure. s (N = 203) completed the preliminary MIPQ along with measures of  ,  practices, and mindfulness. The contemporary psychometrics approach known as the item response theory (IRT) was used to evaluate the MIPQ. Results yielded two dimensions, each of which was measured optimally using the partial credit model. The two dimensions, mindful discipline and being in the moment with the , explained 42.3 and 43.4 % of the variance, respectively. Correlations between the MIPQ and  ,  practices, practice of mindfulness, and participant demographics provided support for construct validity. The MIPQ exhibited a positive and weak correlation with the MAAS, indicating that interpersonal and intrapersonal mindfulness are related yet separate and distinct constructs. Limitations and directions for future  are discussed."
The Influence of Authoritative Parenting During Adolescence on Depressive Symptoms in Young Adulthood: Examining the Mediating Roles of Self-Development and Peer Support,2010,"A diverse sample of 1,143 high school seniors and 182 students who were part of the same cohort but who left high school without graduating were interviewed during late adolescence (Time 1 [T1]) as well as 2 (Time 2 [T2]) and 4 years later (Time 3 [T3]). Perceived self-development, peer support, and prior levels of depressive symptoms (T2) were hypothesized to mediate the relationship between authoritative  during adolescence (T1) and depressive symptoms during young adulthood (T3). T2 sense of self as worthy and efficacious and depressive symptoms, but not peer support, fully mediated the effect of authoritative  on T3 depressive symptoms. The authors discuss the importance of  for healthy, emerging adult self-development and the continuing influence of   during adolescence on young adult depressive symptoms."
Parenting stress and marital relationship as determinants of mothers' and fathers' parenting,2013,"Using the actor-partner interdependence model, we explore how various sources of stress and support experienced by fathers and mothers influence their own   and the   of the partner. Data from 227 couples were analyzed, with mothers and fathers rating their  stress and marital relationship and  rating the   of both mothers and fathers. Structural equation models revealed actor effects of  stress on demanding and responsive  , as well as partner effects between positive aspects of marital relationship and responsive  . The  further indicate that the strength of these pathways is similar for both mothers and fathers and do not support the hypothesis that the  of fathers is more vulnerable than the  of mothers."
Victimized Children's Adjustment Difficulties: The Role of Parenting Styles and Parents' Childhood Peer Victimization Status,2017,"The purpose of the   was to examine the role of s' hood victimization status in the associations among   and victimized 's depression and anxiety. Participants were 203 s (86% mothers; M age = 43.75, SD = .76) and their  in the fourth or fifth grade (n = 203; 56% female; M age = 9.74, SD = .34). Children completed measures on peer victimization, their perceptions of their s'  , depression, and anxiety, while s completed a measure on their hood peer victimization while in elementary school. s' hood peer victimization status moderated relationships among authoritarian and permissive   and victimized 's adjustment difficulties. These findings highlight the importance of considering s' experience of hood peer victimization and its impact on their   and their 's adjustment difficulties."
Differential Influences of Parenting Dimensions and Parental Physical Abuse during Childhood on Overweight and Obesity in Adolescents,2017,"Besides other explanatory variables,   and al violence might  be responsible for setting a path towards overweight/obesity in hood. While this association has consistently been observed for adults, findings for adolescents still remain scarce and inconsistent. Therefore, the goal of this  is to add evidence on this topic for  and adolescents. Analyses are based on a sample of 1729 German, ninth-grade students. To analyze associations between  dimensions and weight status, non-parametric conditional inference trees were applied. Three gender-specific pathways for a heightened risk of overweight/obesity were observed: (1) female adolescents who report having experienced severe al physical abuse and medium/high al warmth in hood; (2) male adolescents who report having experienced low or medium al monitoring in hood; and (3) this second pathway for male adolescents is more pronounced if the families receive welfare. The importance of promoting   characterized by warmth and a lack of physical abuse is  discussed. This is one of only a few studies examining the association of  dimensions/al physical abuse and weight status in adolescence. Future studies should include even more  dimensions, as well as al physical abuse levels, in order to detect and untangle gender-specific effects on weight status."
"The Influence of Parenting Styles, Achievement Motivation, and Self-Efficacy on Academic Performance in College Students",2009,"  have consistently been shown to relate to various outcomes such as youth psychopathology, behavior problems, and academic performance. Building on the  in the   literature, along with examining components of self-determination theory, the   examined the relations among authoritative  , academic performance, self-efficacy, and achievement motivation using a sample of college students (N = 264). Results indicated that authoritative  continues to influence the academic performance of college students, and both intrinsic motivation and self-efficacy predicted academic performance. Additionally, the  tested the interaction between self-efficacy and authoritative , but the interaction was not significant. Implications for future  and applications are discussed."
Fathering Styles: Qualities Children Expect in Their Fathers,2020,"Many fathers strive to be better s. Yet it remains unclear what qualities contribute to effective fathering; less is clear about how such paternal efforts are viewed by their . Based on theoretical frameworks and previous qualitative studies that assessed father roles, a set of father role items was developed to assess undergraduate students' views of their fathers (n = 1,208). Factor analysis revealed two distinctive aspects of fathering quality: considerateness (friendly, supportive and -centered) and traditionalism (authoritarian, disciplinarian and provider). A path analysis revealed directional and relative effects of these two dimensions on perceived fathering quality. Further, based on these two distinctive dimensions, four fathering  were developed, which predicted 's developmental outcomes. Ways of improving paternal  are discussed."
Parenting Stress in Parents of Children with Learning Disabilities: Effects of Cognitions and Coping Styles,2022,"This  investigated the relationship between al cognitions, coping , and stress in s of  with learning disabilities. More specifically, al beliefs about self-efficacy and satisfaction in the  role were examined in relation to  stress. Furthermore, the relationship between  stress and problem-focused and emotion-focused coping  was evaluated. Participants, who were 147 s of 5- to 12-year-old  who had been diagnosed with a learning disability, completed three self-report measures. A hierarchical multiple regression model was used to examine the effects of the predictor variables on  stress. Results revealed that s' perceptions of the severity of their 's learning disability, as well as their use of emotion-focused coping strategies, were significant predictors of  stress levels. Participants' beliefs regarding their self-efficacy in the  role and their satisfaction with the  role were not significant predictors of  stress. Additionally, al use of problem-focused coping strategies was not a significant predictor of  stress. Implications for future  and clinical practice are discussed."
"Intergenerational Transfer of Parenting Styles: Correlations between Experience of Punitive Discipline in Childhood, Opinion Regarding Discipline Methods, and Context of Parenting",2015,"The purpose of this  is to  the intergenerational correlations of punitive disciplining of . In an international sample, 112 individuals evaluated their experience of disciplinary methods from their hood, as well as current perception of disciplinary methods and their own context of . The  showed that the experience of corporal punishment or psychological aggression in hood correlates with acceptability of inflicting corporal punishment or psychological aggression as a . There was an interaction between the experience of punitive discipline and experiencing confidence in carrying out  tasks and experiencing -day stress. Context of  (e. g., confidence in carrying out  tasks) and perceptions of punitive disciplining might help us understand intergenerational transfer of  ."
INVESTIGATING THE RELATIONSHIP BETWEEN PARENTING PRACTICES THE AMOUNT OF HOPE WITH RESONANCE AMONG THE GIRLS IN SHIRAZ,2017,"The purpose of this  was to investigated the relationship between bearing practices, hopefulness and resiliency among girl's adolescents in Shiraz. This  is based on the purpose and descriptive nature of correlation. The statistical population of this  includes all female secondary school students in Shiraz. Which in the academic year of 2015-2016 in this city were ing. To select the sample, a multi-stage cluster sampling method was used. Totally, 300 secondary school students were selected. The questionnaires included   (Alabama), Snyder Hope Questionnaire and Connor and Davidson Questionnaire. In this descriptive and inferential , data were analyzed using SPSS-20 software and inferential statistics, correlation coefficient and multiple regression were used to  the  hypotheses. The  of this  showed that there is a negative and significant relationship between weakness in supervision and overall resilience score of existence. However, there is a positive and significant relationship between participation with father. participation with mother, positive , and instability in how to deal with , and overall resilience score. There is no significant relationship between weakness in supervision and physical punishment and overall hope score, but there is a positive and significant relationship between participation with father, participation with mother, positive , and instability in how to deal with  and hope."
