Author ,Title,Journal,Abstract,Year
"Zilvinskis, John; Borden, Victor; Severtis, Ronald E., Jr.",Employing a Quasi-Experimental Technique to Measure the Effects of Conditional Admissions,JOURNAL OF COLLEGE STUDENT RETENTION-RESEARCH THEORY & PRACTICE,"Colleges and universities employ conditional admission policies to identify s with subpar academic qualifications, who may need additional support to succeed. Using institutional data of more than 2,000 s, the study applies labeling theory to a quasi-experimental design (difference-in-differences testing), measuring the effects of a new conditional admission policy. The policy did not affect grade point average, number of credits attempted, or  for s with lower academic credentials but yielded a 16% decrease in credits completed. The results of this study question the value of policies that label s as conditional admits without providing comprehensive support for those s.",2020
"Lavigne, Alyson Leah",Beginning teachers who stay: Beliefs about students,TEACHING AND TEACHER EDUCATION,"Beliefs serve as an adaptation that helps teachers organize their teaching world. Little is known, however, about how beliefs change and serve to help retain and sustain teachers, particularly for beginning teachers who are most likely to leave teaching. This study explores teachers' beliefs about s in the US (N = 67) and if these beliefs change during the first five years of teaching. Results indicate that teachers hold beliefs about s that capture pride and participation. Over time, these beliefs become more positive. Implications for teacher  and policy are discussed. (c) 2013 Elsevier Ltd. All rights reserved.",2014
"Clark, M. H.; Cundiff, Nicole L.",Assessing the Effectiveness of a College Freshman Seminar Using Propensity Score Adjustments,RESEARCH IN HIGHER EDUCATION,"Researchers investigated the impact that a first-year  experience course had on s' first-year grade point averages (GPAs) and  rates. A sample of 109 first-year s enrolled in the course was compared to a sample of 326 s from the same  who had not taken the course. The goals of the experience course were to reduce attrition, increase grade point averages, and enhance academic skills. Without accounting for selection bias, those who took the course had similar  rates and lower GPAs than those who did not take the course. After matching on propensity scores, the negative effects of the program on GPA were nullified and those in the program were more likely to enroll for a second year. Although the benefits from the course were weak, the positive impact of the program was more apparent after accounting for individual differences.",2011
"Wachen, John; Pretlow, Joshua; Dixon, Karrie G.",Building College Readiness: Exploring the Effectiveness of the UNC Academic Summer Bridge Program,JOURNAL OF COLLEGE STUDENT RETENTION-RESEARCH THEORY & PRACTICE,"Many s enter  without the skills and knowledge needed to successfully perform -level work. An important leverage point for increasing  readiness is the transition from high school to . One strategy implemented at postsecondary  to ease this transition, boost academic and social readiness, and foster s' academic momentum is the summer bridge program. The purpose of this study was to examine how summer bridge programs influence   and completion. The study used propensity score analysis to examine the impact of five summer bridge programs operating in the UNC system from 2008 to 2014. The analyses showed a positive association between summer bridge participation and  to the second and third years. Participation in the program also increased the likelihood of graduating in 4 years. Additionally, we provide information on the costs of operating these programs.",2018
"Jones, Willis A.",The Impact of Social Integration on Subsequent Institutional Commitment Conditional on Gender,RESEARCH IN HIGHER EDUCATION,"Social Integration has been found by several scholars to have a significant impact on the subsequent institutional commitment and  of  s. Few of these scholars, however, have attempted to examine whether social integration has a different impact on female s as compared to male s. This paper presents the results of a study which examined whether the impact of social integration on subsequent institutional commitment is conditional on gender. Findings suggest the need to slightly revise how   scholars and practitioners think about social integration and its impact of  .",2010
"Goldhaber, Dan; Cowan, James",Excavating the Teacher Pipeline: Teacher Preparation Programs and Teacher Attrition,JOURNAL OF TEACHER EDUCATION,"We analyze the placement and attrition patterns of teachers by preparation programs and document large differences in the rate at which teachers exit both their schools and the profession. These differences are robust to within-school comparisons. Moreover, assumptions about turnover and the  of program effects prove important for predicting the likely changes in  achievement that would result from varying the proportion of graduates from the most and least effective programs within a state.",2014
"SHERMAN, TM; GILES, MB; WILLIAMSGREEN, J",ASSESSMENT AND RETENTION OF BLACK-STUDENTS IN HIGHER-EDUCATION,JOURNAL OF NEGRO EDUCATION,,1994
"Mendez, Julian, I; Bauman, Sheri",From Migrant Farmworkers to First Generation Latina/o s: Factors Predicting College Outcomes for s Participating in the College Assistance Migrant Program,REVIEW OF HIGHER EDUCATION,"This  examines factors associated with  outcomes in a migrant Latina/o   sample enrolled in the College Assistance Migrant Program (CAMP). We also examine the relationship between CAMP services and s' academic perceptions (i.e.,  academic self-efficacy, academic resilience, and school connectedness). High school achievement and academic resilience were significant positive predictors of  GPA, while living on-campus was a negative predictor. Financial aid in the form of loans, having family responsibilities, and working full-time off campus were negative predictors of , while involvement in CAMP's personal and academic counseling services was a positive predictor. Implications are discussed.",2018
"Ajjawi, Rola; Boud, David; Zacharias, Nadine; Dracup, Mary; Bennett, Sue",How Do s Adapt in Response to Academic Failure?,STUDENT SUCCESS,"Ensuring  success has long been on the research agenda in  . In this study, we seek to understand if the changes s make in light of academic failure are consistent with this literature. Little is known about s who fail but subsequently persist in their studies. Through an online survey with s who had failed and persisted, we identified drivers for  and how s adapted in response to academic failure. Thematic analysis showed that the majority of s did not seek institutional support following academic failure but they did seek support from peers, family and friends. These adaptations occurred at multiple levels: dispositional, situational and institutional. Drivers reported were internal (desire to complete) and external (desire to meet expectations). Although the majority of our s showed positive adaptations following academic failure, a significant portion reported no changes to their academic strategies. The paper poses the question of how s who fail can be better supported to continue successfully.",2019
"Su, Jian; Waugh, Michael L.","Online  Persistence or Attrition: Observations Related to Expectations, Preferences, and Outcomes",JOURNAL OF INTERACTIVE ONLINE LEARNING,This paper compares the perceptions of two groups of s who participated in the first cohort of the WebIT online Master of Science Degree in Instructional Technology at the University of Tennessee at Knoxville over a two-year period. The program completers (n=11) are the s who completed and graduated from the WebIT program. The dropper-respondents (n=5) are those s who dropped out of the WebIT program prior to completion. Both groups volunteered to complete an electronically-administered survey about their WebIT experiences. Each survey contained 46 comparable items. The WebIT s' expectations and preferences for an online program are discussed. Group responses to several questions on a program exit survey illustrate several possible differences between the members of the two groups that may provide insight into a possible relationship between the question topics and the high rate of attrition observed during the first cohort of the WebIT program.,2018
"Zajacova, A; Lynch, SM; Espenshade, TJ","Self-efficacy, stress, and academic success in college",RESEARCH IN HIGHER EDUCATION,"This paper investigates the joint effects of academic self-efficacy and stress on the academic performance of 107 nontraditional, largely immigrant and minority,  freshmen at a large urban commuter institution. We developed a survey instrument to measure the level of academic self-efficacy and perceived stress associated with 27 -related tasks. Both scales have high reliability, and they are moderately negatively correlated. We estimated structural equation models to assess the relative importance of stress and self-efficacy in predicting three academic performance outcomes: first-year  GPA, the number of accumulated credits, and   after the first year. The results suggest that academic self-efficacy is a more robust and consistent predictor than stress of academic success.",2005
"Bowman, Nicholas A.; Holmes, Joshua M.",Getting off to a good start? First-year undergraduate research experiences and student outcomes,HIGHER EDUCATION,"Undergraduate research is widely perceived as a high-impact practice that promotes s' learning, cognition, career planning, and al attainment. With some exceptions, the existing evidence largely provides support for these beliefs. However, these studies typically examine research experiences that occur later in the undergraduate years, whereas engaging in undergraduate research during the first year is becoming increasingly common. First-year experiences may yield different outcomes than later experiences for a variety of reasons; in addition, previous studies often do not account sufficiently for self-selection into undergraduate research, which may be especially problematic for cross-sectional studies that occur in the junior or senior year. Therefore, this study examines the potential impact of first-year undergraduate research using propensity score analyses within a large, multi-institutional, longitudinal dataset. Research participation is significantly and positively related to first-year  satisfaction and fourth-year undergraduate GPA, but it is unrelated to satisfaction and grades in other years as well as graduate degree intentions,  at the same institution, and 4-year graduation. Conditional analyses indicate that these effects are largely consistent across  demographics, pre- achievement, and institutional selectivity.",2018
"Schuman, Donna L.; Parekh, Rupal M.; Fields, Noelle L.; Woody, Deborah; Miller, Vivian J.",Improving Outcomes for At-Risk MSW s: A Pilot e-Mentorship Program Using A Near-Peer Model,JOURNAL OF TEACHING IN SOCIAL WORK,"Much research exists to support the positive effects of mentorship programs on improving grades and  rates for MSW s. With the rapid growth in online MSW programs, the need to provide mentorship in electronic formats is also increasing. This retrospective longitudinal study examines the impact of an electronically delivered (e-mentorship) program on MSW  success factors. Twenty MSW s at risk of program failure, most of whom were geographically dispersed across a South-Central U.S. State, were offered the opportunity to participate in a near-peer mentorship program conducted primarily through electronic means. s were provided academic resource information and study tips. Those who engaged in e-mentorship worked on action plans aimed at addressing academic barriers. Compared to s who did not contact the mentor for assistance (n = 10), s who actively engaged the mentor (n = 10) showed significant improvement in grades, removal from probationary status, and /graduation.",2021
"Nalbone, David P.; Kovach, Ronald J.; Fish, Jessica N.; McCoy, Kelsey M.; Jones, Kathryn E.; Wright, Hillary Rawlings",Social Networking Web Sites as a Tool for  Transitions: Purposive Use of Social Networking Web Sites for the First-Year Experience,JOURNAL OF COLLEGE STUDENT RETENTION-RESEARCH THEORY & PRACTICE,"The current study investigated the potential role that social networking Web sites (e.g., Facebook) played in creating both actual and virtual learning communities within the first-year seminar. Researchers conducted a 2-year longitudinal study to assess whether s who were connected within a -founded virtual network persisted in greater numbers, transitioned more smoothly, and rated overall  satisfaction  than those in a control group. Results indicated that Facebook led to small, but significant, changes in s' desire to work with others, adjustment to , and satisfaction with their . Administrative uses for social networking in  transitions, , and satisfaction are also proposed.",2016
"Tevis, Tenisha; Britton, Kristi",First-Year  Experiences: Uncovering the Hidden Expectations of Frontline Faculty Members and  Services Administrators,INNOVATIVE HIGHER EDUCATION,"Research that explores the experiences of  s consistently finds that the first year is the most daunting to navigate. While a well-established but far from exhaustive list of factors has been found to impact a 's transition to and  in , very little research has focused on frontline faculty and  services administrators' hidden expectations of first-year s. Therefore, we explored what we call the integration information gap - the gap between what is expected of first-year s and what they actually know - how this gap is formed and how it can be narrowed. As a contribution to the literature on transition to  and , we discuss ways to prevent the gap, strategies to assist faculty members and administrators in an effort to narrow the gap, and suggestions for future research.",2020
"Tucker, Leslie; McKnight, Oscar",Assessing the Validity of College Success Indicators for the At-Risk : Toward Developing a Best-Practice Model,JOURNAL OF COLLEGE STUDENT RETENTION-RESEARCH THEORY & PRACTICE,"This study assessed the feasibility of using pre success indicators to identify at-risk s at a large 4-year public research  in the Midwest. Retention data from s who participated in an established  success program were examined. The findings affirm that the initial admissions assessment identifying at-risk s is a feasible predictor of academic success, including high school (HS) grade point average (GPA) could predict  success over and above the variance accounted for by American College Test alone; the semester in which s are admitted is a predictor of success; first-semester  GPA can predict academic success over and above chance; there is a significant positive relationship between cognitive ability (i.e., American College Test x HS GPA) and SUCCESS; HS GPA could be used as the single best predictor of  success; and using all three variables to identify  success appears warranted. A PASS model is offered to assist in the development of interventions and success programs.",2019
"Walker, Kimberly Young; Okpala, Comfort",Exploring Community College s' Transfer Experiences and Perceptions and What They Believe Administration Can Do to Improve Their Experiences,JOURNAL OF CONTINUING HIGHER EDUCATION,"This study explored the interconnectedness of the transfer  experience and used it as a foundational framework to inform the administrative leadership on a North Carolina, midsized, historically Black  of the existing transfer s' experiences. This study focused on (a) how transfer s at a midsized historically Black  and  (HBCU) describe their experiences, (b) how transfer s described the factors that affected their , and (c) what transfer s believed that  administrative leadership could do to ensure their . Twelve transferred s participated in the study. The findings from the qualitative analysis show that (a) s are aware of the differences that exist between themselves and native s and desire for administration to recognize those differences, (b) they desire more resources tailored to their needs as transfer s, and (c) they have substantial academic and non-academic barriers that need to be recognized by those who regularly come into contact with the transfer population.",2017
"Martin, Kimberly; Goldwasser, Molly; Harris, Eugenia",Developmental Education's Impact on s' Academic Self-Concept and Self-Efficacy,JOURNAL OF COLLEGE STUDENT RETENTION-RESEARCH THEORY & PRACTICE,"s who are enrolled in developmental courses often persist at lower rates than s who enter  prepared for -level work. This phenomenon has been attributed to numerous potential factors, including the psychological impact of assignment to developmental courses. This study examines the impact of enrollment in multiple developmental courses on s' academic self-concept and academic self-efficacy using the difference in differences method of analysis. s at a small, regional  in the southeast were surveyed at the beginning and end of their first semester of enrollment. Researchers found no negative impact on s' academic self-concept or self-efficacy as a result of enrollment in multiple developmental courses in the first semester, but s enrolled in multiple developmental courses had lower academic self-concept than peers. There was no difference between the groups for academic self-efficacy.",2017
"George, Casey E.; Saclarides, Evthokia Stephanie; Lubienski, Sarah Theule",A difference in priorities?: Why US and international students consider leaving doctoral programs,STUDIES IN GRADUATE AND POSTDOCTORAL EDUCATION,"Purpose - This study aims to focus on survey reports of doctoral s' experiences in the USA, providing a look at factors influencing ''in the moment'' decisions s make about . Specifically, the authors investigate the reasons doctoral s consider leaving their programs, and how these reasons may differ for international and domestic s. The authors also examine international-domestic patterns by sex and by program of study. Design/methodology/approach - As part of a campus-wide doctoral program assessment, doctoral s and recent graduates at a large, public, Research I institution in the Midwest region of the USA are asked to complete a program satisfaction survey. Content analysis of open-ended survey responses is the basis of the analysis. Next, a code by committee approach is used whereby two members of the research team coded all open-ended responses and discussed discrepancies to reach consensus on all codes assigned, and to reduce individual biases. Each open-ended response is assigned at least one of 16 codes, with more than one code used as necessary. Findings - The results suggest that, although both academic and social factors are important influences of doctoral departure in general, academic concerns - specifically, alignment with goals, career preparation and program structure - may be particularly important for international s, whereas social aspects - faculty relationships and program climate - may be more important for domestic US s. Research limitations/implications - Researchers should consider conducting larger, multi-institutional studies in the USA, which would reflect a diversity of perspectives and experiences within the American context. Parallel studies of doctoral programs in other countries may be useful in identifying whether similar factors are found for international and domestic s attending those programs. Follow-up interviews could be used to further delve into and understand the emergent patterns from the surveys. The findings of such future studies have the power to inform programs and policies designed to increase the  of both domestic and international doctoral s. Practical implications - Given that faculty/advising is one of the most important factors cited by both domestic and international s, our findings suggest that US faculty members may need to give more attention to nurturing supportive relationships with their advisees. Furthermore, American  administrators might consider changing tenure requirements and reward systems for professors to place more emphasis on cultivating positive relationships with advisees, publishing, presenting and writing grants with advisees, and providing high-quality mentoring for doctoral s. Doctoral-granting  should consider implementing regular program reviews that include surveys from doctoral s to help programs identify and meet their s' needs. Originality/value - Likewise, while other research on international s' doctoral experiences has been conducted, such as the relationship with their faculty advisor (Kim, 2007; Rice et al., 2009), single studies that focus on factors affecting the attrition of domestic versus that of international s' remain limited. The purpose of this study is to address the following research questions: What factors contribute to doctoral s' considerations of departure in the USA? How might these factors differ between domestic and international s? We seek to expand understandings of doctoral attrition by using larger-scale qualitative data to address limitations of existing studies that focus on the experiences of only a few s.",2018
"Nelson, Karen J.; Quinn, Carole; Marrington, Andrew; Clarke, John A.",Good practice for enhancing the engagement and success of commencing students,HIGHER EDUCATION,"There is widespread recognition that    (HEIs) must actively support commencing s to ensure equity in access to the opportunities afforded by  . This role is particularly critical for s who because of al, cultural or financial disadvantage or because they are members of social groups currently under-represented in  , may require additional transitional support to level the playing field. The challenge faced by HEIs is to provide this support in a way that is integrated into regular teaching and learning practices and reaches all commencing s. The  Success Program (SSP) is an intervention in operation at the Queensland University of Technology (QUT) designed to identify and support those s deemed to be at risk of disengaging from their learning and their institution. Two sets of evidence of the impact of the SSP are presented: First, its expansion (a) from a one-faculty pilot project (Nelson et al. in Stud Learn Eval Innov Dev 6:1-15, 2009) to all faculties and (b) into a variety of applications mirroring the  life cycle; and second, an evaluation of the impact of the SSP on s exposed to it. The outcomes suggest that: the SSP is an example of good practice that can be successfully applied to a variety of learning contexts and  enrolment situations; and the impact of the intervention on   is sustained for at least 12 months and positively influences  . It is claimed that the good practice evidenced by the SSP is dependent on its integration into the broader First Year Experience Program at QUT as an example of transition pedagogy in action.",2012
"Davidson, J. Cody","Completing the Remedial Sequence and College-Level Credit-Bearing Math: Comparing Binary, Cumulative, and Continuation Ratio Logistic Regression Models",JOURNAL OF COLLEGE STUDENT RETENTION-RESEARCH THEORY & PRACTICE,"Mathematics is the most common subject area of remedial need and the majority of remedial math s never pass a -level credit-bearing math class. The majorities of studies that investigate this phenomenon are conducted at community s and use some type of regression model; however, none have used a continuation ratio model. The purpose of this study was to assess   through the remedial math sequence and successfully passing a -level credit-bearing math course using binary, cumulative, and continuation ratio logistic regression models at 2- and 4-year public . Findings showed the pre-algebra grade was the strongest predictor of completing each course in the remedial sequence and passing a -level credit-bearing math class. Also, continuation ratio logistic regression provided methodological advantages over binary and cumulative logistic regression.",2016
"Lizarte Simon, Emilio Jesus",Biographical trajectory of a student who dropout Pedagogy at the University of Granada,JOURNAL FOR EDUCATORS TEACHERS AND TRAINERS,"The aim of this study has been to analyse those specific variables which take place in dropout and also in s' profiles and paths corresponding to those who drop out in their first or second year. As a result of the increase in dropout research a myriad of methodologies are regularly used to materialize and reduce the effect of  dropout. This piece of research is based on an in-depth interview with a  who dropped out her Pedagogy degree studies at the Faculty of Education, University of Granada. This cross curricular study has been carried out following a bibliographical-narrative methodology. Data have been gathered through a semi-structured in-depth interview following Torrado's model (2012). Results allow to characterize dropout and the main reasons that take part in the process are thoroughly discussed.",2017
"Bowman, Nicholas A.; Felix, Vivienne",It's Who I Am:  Identity Centrality and College  Success,JOURNAL OF STUDENT AFFAIRS RESEARCH AND PRACTICE,"Despite considerable research on   and ,  graduation rates remain modest. This  proposes the concept of  identity centrality, which is defined as the extent to which being a  is important to one's self-image or identity. This study found  identity centrality was positively related to goal commitment, institutional commitment, and intent to persist, even when controlling for pre attributes and  experiences. Additional findings and implications are discussed.",2017
"Di Maggio, Lily M.",The Connection of Study Abroad to s' Positive Feelings of Institutional Action,JOURNAL OF COLLEGE STUDENT RETENTION-RESEARCH THEORY & PRACTICE,"Previous empirical inquiry into study abroad has consistently shown that s who study abroad have  graduation rates than s who do not study abroad. In the current study, it was theorized that study abroad increased s' perceptions of the  or  that they attended. Using data from the National Survey of  Engagement, the supportive campus environment scores of s who studied abroad were compared with s who did not study abroad. The measurement of supportive campus environment was shown to be consistent to measuring s' perception of Tinto's concept of institutional action. The current study controlled for race/ethnicity, gender, and major. The findings indicated that s' feelings of institutional action were more positive if they studied abroad; however, there was some variance based on academic major and race/ethnicity. At the end of the current study, policy implications were given related to the findings, and ideas for further research were presented.",2019
"Xu, Di; Solanki, Sabrina; McPartlan, Peter; Sato, Brian",EASEing s Into College: The Impact of Multidimensional Support for Underprepared s,EDUCATIONAL RESEARCHER,"Extensive theoretical literature and qualitative evidence nominate learning communities as a promising strategy to improve  and success among at-risk populations, such as s who are academically underprepared for -level coursework. Yet rigorous quantitative evidence on the impacts of these programs is limited. This paper estimates the causal effects of a first-year STEM learning communities program on both cognitive and noncognitive outcomes at a large public 4-year institution. We use a regression discontinuity design based on the fact that s are assigned to the program if their math SAT score is below a threshold. Our results indicate that program participation increased the academic performance and sense of belonging for s around the cutoff. These results provide compelling evidence that learning communities can support at-risk populations when implemented with a high level of fidelity.",2018
"Gipson, John; Mitchell, Donald, Jr.; McLean, Carolyn",An Investigation of High-Achieving African-American s Attending Community Colleges: A Mixed Methods Research Study,COMMUNITY COLLEGE JOURNAL OF RESEARCH AND PRACTICE,"While much more research has been conducted about African- American  s in recent decades, there still exists a need for further explorations concerning factors related to  success and . For example, s often explore the experiences of African-American s at four-year  and often use deficit frameworks instead of focusing on the experiences of successful s. To add to what is known, this  summarizes the findings of a multi-institutional mixed methods research study that explored the experiences of high-achieving African-American s attending community s. Specifically, the researchers explored noncognitive factors that influenced high academic achievement-defined as grade point average (GPA)  than 3.00, why s considered leaving an institution, and why s decided to remain enrolled. Findings suggested that studying alone promoted a high cumulative GPA and increased the likelihood s never seriously considered leaving their institution. Studying alone, family relationships, hours spent studying with family, engaged and supportive faculty, financial aid, and the strive to succeed also promoted . Relating to sex differences,  organizational involvement appeared to be more important for male  than female  at a significant level. The  closes with implications for future research and practice.",2018
"Rodriguez-Gomez, David; Meneses, Julio; Gairin, Joaquin; Feixas, Monica; Luis Munoz, Jose","They have gone, and now what? Understanding re-enrolment patterns in the Catalan public higher education system",HIGHER EDUCATION RESEARCH & DEVELOPMENT,"Studies of  re-enrolment patterns in   constitute, along with traditional studies of  and dropout, a key element for improving the quality of   . However, these studies tend to be limited as they are centred on a single institution, due to the lack of national-scale data sets for monitoring s between different . Using a longitudinal population-based data set provided by the Catalan University Assurance Agency (AQU), which includes information records on 21,473 undergraduate s, this paper aims to develop and test an exploratory model of  re-enrolment, specifically in the Catalan public  system. We are not only interested in  re-enrolment, but also in whether they do so during the first year after dropout or in the same area of knowledge. Results from logistic regression analysis revealed that although most s return to the  system in the first year after dropout, many of these change to a different area of knowledge, which is clear evidence of dysfunctional and inefficient guidance systems and  entrance. Findings provide a more accurate and complete picture of  re-enrolment behaviour and suggest the need to develop targeted policies to improve the efficiency and effectiveness of our  systems.",2016
"Barth, Joan M.; Dunlap, Sarah T.; Bolland, Anneliese C.; McCallum, Debra Moehle; Acoff, Viola L.",Variability in STEM Summer Bridge Programs: Associations with Belonging and STEM Self-Efficacy,FRONTIERS IN EDUCATION,"To address the challenges facing racial minority s majoring in STEM during the transition from high school to , NSF funded Louis Stokes Alliances for Minority Participation (LSAMP) programs throughout the country implement summer bridge programs. Bridge programs vary in their focus on professional development, academic support, research experiences, social activities, and in other areas, but all share an intention to support s during their transition to . Beyond , little is known about how these varied summer bridge experiences impact  outcomes in the first year of . This study first describes the variability in the summer bridge programs in the Alabama LSAMP Alliance and then examines how differences in s' satisfaction with their experiences are associated with feelings of belonging and STEM self-efficacy, two factors associated with STEM . s (N = 145) who attended an LSAMP summer bridge program were surveyed at three time points over the first year of . Findings indicated that bridge programs varied in their offering of academic classes, academic support (e.g., study skills), research experiences, professional development, and planned social activities. s attending HBCUs scored more favorably than s at PWIs on some measures; however, these differences could be accounted for by satisfaction with bridge experiences. Satisfaction with specific aspects of the bridge programs, especially orientation activities and getting to know other s, were associated with feelings of belonging and STEM self-efficacy. These relations were stronger for belonging. Over the course of the academic year, the relations between bridge satisfaction and belonging and self-efficacy weakened.",2021
"Erwin, Elizabeth; Muzzin, Linda",Aboriginal student strength to persist and Indigenous Knowledges in community colleges,HIGHER EDUCATION SKILLS AND WORK-BASED LEARNING,"Purpose - The purpose of this paper is to document experiences of Aboriginal s in community s from the perspective of Aboriginal communities rather than policymakers and shows how these communities support   in . Design/methodology/approach - Interviews with 16 Aboriginal  s, staff and community members were undertaken with Aboriginal guidance, and analysis was undertaken informed by the writings of Aboriginal scholars. Findings - The major finding was that First Nations s experience a disconnect between the epistemology of Aboriginal peoples and ways of being in community s. Most demonstrate bravery and  in their studies as well as resistance to assimilation. Understanding and support is provided by surrounding Aboriginal communities, based on their appreciation of the epistemological roots of the problem. Practical implications - Frequent reference to the absence of Indigenous Knowledges suggests that more must be done to make Aboriginal s feel safe in s where they are in the minority. In view of their feeling of disconnect, safe Aboriginal centers, or  homes away from home are one of many ways to support these s. Originality/value - The research challenges assimilationist approaches to Aboriginal  s, and highlights supporting Indigenous peoples, as described in global terms by Indigenous scholars.",2015
"Baleria, Gina",Counteracting Othering in the Community College Setting: Increasing Belonging and Curiosity to Improve  Success,COMMUNITY COLLEGE JOURNAL OF RESEARCH AND PRACTICE,"This exploratory, phenomenological qualitative study explored how a single, relational micro-intervention focused on respectful conversation across difference might influence sense of belonging and level of curiosity among participating community  s. The study also explored the implications of this intervention for improving campus climate and increasing  , , and success. Key findings relate to the process of moving from other and unknown to connection and rapport, significant when viewed through the lens of the Framework for Individual Diversity Development. Though s expressed pre-conceived notions, they built rapport across differences through the experience of engaging in a relational micro-intervention, leading many to express comfort, connection, and respect for their paired partner and other others in their lives. Findings indicate that semi-structured, relational micro-interventions may help s establish rapport and find commonality across difference, laying the foundation of small-scale relationships and influencing s' sense of belonging and level of curiosity. This can ultimately improve campus climate, , , and success.",2021
"Jones-White, Daniel R.; Radcliffe, Peter M.; Huesman, Ronald L., Jr.; Kellogg, John P.",Redefining  Success: Applying Different Multinomial Regression Techniques for the Study of  Graduation Across Institutions of Higher Education,RESEARCH IN HIGHER EDUCATION,"Current definitions of  and graduation rates distort the picture of  success by limiting it to completion of a degree at the institution of entry. By incorporating data from the National  Clearinghouse (NSC), a clearer picture emerges. The NSC data captures  and graduation at both entry and transfer . To accommodate this polychotomous definition of success, more sophisticated methods of modeling limited dependent variables are needed. Though multinomial logit is often considered the most accessible method, the strict assumptions it imposes may be inappropriate. We therefore compare multinomial regression techniques to assess their utility in modeling multi-institutional  success.",2010
"Park, Ji-Hye; Choi, Hee Jun",Factors Influencing Adult Learners' Decision to Drop Out or Persist in Online Learning,EDUCATIONAL TECHNOLOGY & SOCIETY,"The number of adult learners who participate in online learning has rapidly grown in the last two decades due to online learning's many advantages. In spite of the growth, the high dropout rate in online learning has been of concern to many    and organizations. The purpose of this study was to determine whether persistent learners and dropouts are different in individual characteristics (i.e., age, gender, and al level), external factors (i.e., family and organizational supports), and internal factors (i.e., satisfaction and relevance as sub-dimensions of motivation). Quantitative data were collected from 147 learners who had dropped out of or finished one of the online courses offered from a large Midwestern . Dropouts and persistent learners showed statistical differences in perceptions of family and organizational support, and satisfaction and relevance. It was also shown that the theoretical framework, which includes family support, organizational support, satisfaction, and relevance in addition to individual characteristics, is able to predict learners' decision to drop out or persist. Organizational support and relevance were shown to be particularly predictive. The results imply that lower dropout rates can be achieved if online program developers or instructors find ways to enhance the relevance of the course. It also implies that adult learners need to be supported by their organizations in order for them to finish online courses that they register for.",2009
"GROSSET, JM","PATTERNS OF INTEGRATION, COMMITMENT, AND STUDENT CHARACTERISTICS AND RETENTION AMONG YOUNGER AND OLDER STUDENTS",RESEARCH IN HIGHER EDUCATION,,1991
"Jean-Francois, Emmanuel",Exploring the perceptions of campus climate and integration strategies used by international students in a US university campus,STUDIES IN HIGHER EDUCATION,This study explored the perceptions of a US  campus climate by international s and analyzed strategies that they used to socially and academically integrate their campuses. The sample consisted of international s who have at least completed two years of their  . Individual interviews and focus group were used for data collection. A combination of content analysis and constant comparison method were used to analyze the data. The study revealed that self-determination has influenced the intercultural strategies of integration used by international s on a US  campus. The study includes recommendations for  services personnel to help international s' social and academic integration beyond the first two years in .,2019
"Hunt, Nuala; Loxley, Andrew"," perspectives on integration in part-time, flexible higher education in Ireland;'we don't socialise here'",JOURNAL OF FURTHER AND HIGHER EDUCATION,"Despite efforts in Ireland to increase the number of part-time s in Higher Education, there was limited growth over twenty years 1997-2017. Part-time featured in widening participation strategies; however, this mode of learning has orientated towards employability. Retention of part-time s remains a problem for Higher Education. This paper draws on findings from an empirical study and explores factors that encouraged integration amongst on-campus part-time, flexible s in Higher Education Institutions. Findings indicated that s persisted in their studies despite encountering challenges. s reported a sense of belonging at programme and department level; however, this did not equate with inclusion within the Higher Education Institutions. s continue to experience difficulty in accessing supports and facilities. The limits of an interactionist model were explored from the perspective of non-traditional s. Tinto's model of integration does not translate straightforwardly to part-time flexible s who were not socialising on campus but were committed to completing the programme.",2021
"Hatch, Deryl K.; Garcia, Crystal E.",Academic Advising and the Persistence Intentions of Community College s in their First Weeks in College,REVIEW OF HIGHER EDUCATION,,2017
"Robinson, R",Pathways to completion: Patterns of progression through a university degree,HIGHER EDUCATION,"This paper outlines a technique for identifying and representing pathways of  progression through a degree course. Considerable attention over the last decade in developing performance indicators of  progress,  and completion in  , has neglected indicators of individual  progression. Common  outcome performance indicators are based on cohort or census-like counts. A new technique is proposed for longitudinal analysis of individual  enrolment and unit of study completions, to create pathways at the  level. The frequency of individual pathways indicate the common patterns of  progression at the course level. Pathway patterns convey important information about changes in programs of study, and associations with  characteristics. Pathway patterns complement current  outcome performance indicators. The pathway technique is simple, accurate, practical and applicable not only to staff and s in making informed decisions regarding the teaching and learning environment but also to universities and governments in planning and policy development.",2004
"Mukherjee, Moumita; McKinney, Lyle; Hagedorn, Linda Serra; Purnamasari, Agustina; Martinez, Franco Santiago",Stretching Every Dollar: The Impact of Personal Financial Stress on the Enrollment Behaviors of Working and Nonworking Community College s,COMMUNITY COLLEGE JOURNAL OF RESEARCH AND PRACTICE,"Using 1,400 survey responses collected from two large urban community  systems in Texas, this study examined how s' financial habits, stress, and well-being influenced their enrollment behaviors. Working s, compared to their nonworking peers, reported significantly lower levels of overall financial well-being. After controlling for other relevant predictors of , regression results showed that s with lower financial well-being and  financial stressweremore likely to doubt their ability to complete . Results for the restricted sample of working s revealed a strong relationship between a 's financialwell-being and stress. These s also reported having to reduce their semester course load and/or stopping out for a semester in order to work more hours to pay for expenses. These findings suggest that initiatives aimed at helping s improve their financial literacy and money management skills may be an effective, yet underutilized, way to improve  rates at community s.",2017
