Title,Journal,Abstract
Effects of sleep hours and fatigue on performance in laparoscopic surgery simulators,SURGICAL ENDOSCOPY AND OTHER INTERVENTIONAL TECHNIQUES,"Studies on a virtual reality simulator have demonstrated that sleep-deprived residents make more errors. Work-hour restrictions were implemented, among other reasons, to ensure enough sleep time for residents. The objective of this study was to assess the effects of sleep time, perceived fatigue, and experience on surgical performance. We hypothesized that performance would decrease with less sleep and fatigue, and that experienced surgeons would perform better than less experienced surgeons despite sleep deprivation and fatigue. Twenty-two surgical residents and attendings performed a peg transfer task on two simulators: the Fundamentals of Laparoscopic Skills (FLS) trainer and the Virtual Basic Laparoscopic Surgical Trainer (VBLaSTA (c)), a virtual version of the FLS. Participants also completed questionnaires to assess their fatigue level and recent sleep hours. Each subject performed ten trials on each simulator in a counterbalanced order. Performance was measured using the FLS normalized scores and analyzed using a multiple regression model. The multiple regression analysis showed that sleep hours and perceived fatigue were not covariates. No correlation was found between experience level and sleep hours or fatigue. Sleep hours and fatigue did not appear to affect performance. Expertise level was the only significant determinant of performance in both FLS and VBLaSTA (c). Restricting resident work hours was expected to result in less fatigue and better clinical performance. In our study, peg transfer task performance was not affected by sleep hours. Experience level was a significant indicator of performance. Further examination of the complex relationship between sleep hour, fatigue, and clinical performance is needed to support the practice of work-hour restriction for surgical residents."
Pharmacometric Models for Characterizing the Pharmacokinetics of Orally Inhaled Drugs,AAPS JOURNAL,"During the last decades, the importance of modeling and simulation in clinical drug development, with the goal to qualitatively and quantitatively assess and understand mechanisms of pharmacokinetic processes, has strongly increased. However, this increase could not equally be observed for orally inhaled drugs. The objectives of this review are to understand the reasons for this gap and to demonstrate the opportunities that mathematical modeling of pharmacokinetics of orally inhaled drugs offers. To achieve these objectives, this review (i) discusses pulmonary physiological processes and their impact on the pharmacokinetics after drug inhalation, (ii) provides a comprehensive overview of published pharmacokinetic models, (iii) categorizes these models into physiologically based pharmacokinetic (PBPK) and (clinical data-derived) empirical models, (iv) explores both their (mechanistic) plausibility, and (v) addresses critical aspects of different pharmacometric approaches pertinent for drug inhalation. In summary, pulmonary deposition, dissolution, and absorption are highly complex processes and may represent the major challenge for modeling and simulation of PK after oral drug inhalation. Challenges in relating systemic pharmacokinetics with pulmonary efficacy may be another factor contributing to the limited number of existing pharmacokinetic models for orally inhaled drugs. Investigations comprising in vitro experiments, clinical studies, and more sophisticated mathematical approaches are considered to be necessary for elucidating these highly complex pulmonary processes. With this additional knowledge, the PBPK approach might gain additional attractiveness. Currently, (semi-) mechanistic modeling offers an alternative to generate and investigate hypotheses and to more mechanistically understand the pulmonary and systemic pharmacokinetics after oral drug inhalation including the impact of pulmonary diseases."
"FT-IR, Raman, RRS Measurements and DFT Calculation for Doxorubicin",MICROSCOPY RESEARCH AND TECHNIQUE,"Doxorubicin (DOXO) is a powerful anthracycline antibiotic used to treat many human neoplasms, including acute leukemias, lymphomas, stomach, breast and ovarian cancer, and bone tumors, yet causing cardiotoxicity at the same time. For this reason, there is a great interest in medical field to gain deep insight and knowledge of this molecule. Raman, Fourier Transform Infrared (FT-IR) absorption spectroscopy, and Resonance Raman scattering were performed for the vibrational characterization of DOXO molecule. Density function theorem (DFT) modeling of Raman and FT-IR spectra were used for the assignment of the vibrational frequencies. The optimized molecular structured was obtained, first, on the basis of potential energy distribution. The simulation for vibrational bands is based on the calculations for internal force constants and potential energy distribution matrices. The calculated DOXO vibrational bands show qualitative agreement with the experimental observations (FT-IR absorption and Raman scattering). Microsc. Res. Tech. 73:991-995, 2010. (C) 2010 Wiley-Liss, Inc."
Habenular Stimulation for Neurosurgery Resistant Obsessive-Compulsive Disorder: A Case Report,FRONTIERS IN PSYCHIATRY,"Background Some patients suffer from persistent and severely disabling Obsessive-Compulsive Disorder (OCD) symptoms that cannot be alleviated by conventional treatments or neuroablative interventions targeting cortico-striatal loop circuits. Currently, it is unclear how to manage the clinical symptoms of these unique patients. We reasoned that deep brain stimulation (DBS) of the habenula (HB) could be a valuable subsequent treatment option for these otherwise medically intractable cases of severe OCD. The HB is an epithalamic structure critically involved in the encoding and responding to aversive stimulus events, cognitive and brain processes known to be impaired in many patients with OCD. Similarly, HB DBS can alleviate depression and anxiety, which often co-occur with OCD. Here, we explore the clinical benefits and risks of HB DBS treatment in a patient with severe and refractory OCD. Case Presentation A 30-year-old male patient presented with persistent and severely disabling OCD symptoms that were refractory to previous psychological and pharmacological treatments as well as to neuroablative surgical interventions involving both capsulotomy and cingulotomy. After HB DBS, however, the severity of the patient's OCD symptoms was markedly reduced at 1-month follow-up, which was sustained until the final (at 12-month) follow-up. The patient also reported enduring improvements in depression, anxiety, and health-related quality of life after several months of HB DBS treatment. Conclusions This case report provides the first clinical evidence suggesting that HB DBS could serve as a safe and effective alternative neurosurgical intervention for severe and refractory OCD. The present findings are promising and warrant further research into the role of the HB in pathophysiology and treatment of OCD."
Choice of futility boundaries for group sequential designs with two endpoints,BMC MEDICAL RESEARCH METHODOLOGY,"Background: In clinical trials, the opportunity for an early stop during an interim analysis (either for efficacy or for futility) may relevantly save time and financial resources. This is especially important, if the planning assumptions required for power calculation are based on a low level of evidence. For example, when including two primary endpoints in the confirmatory analysis, the power of the trial depends on the effects of both endpoints and on their correlation. Assessing the feasibility of such a trial is therefore difficult, as the number of parameter assumptions to be correctly specified is large. For this reason, so-called 'group sequential designs' are of particular importance in this setting. Whereas the choice of adequate boundaries to stop a trial early for efficacy has been broadly discussed in the literature, the choice of optimal futility boundaries has not been investigated so far, although this may have serious consequences with respect to performance characteristics. Methods: In this work, we propose a general method to construct 'optimal' futility boundaries according to predefined criteria. Further, we present three different group sequential designs for two endpoints applying these futility boundaries. Our methods are illustrated by a real clinical trial example and by Monte-Carlo simulations. Results: By construction, the provided method of choosing futility boundaries maximizes the probability to correctly stop in case of small or opposite effects while limiting the power loss and the probability of stopping the study 'wrongly'. Our results clearly demonstrate the benefit of using such 'optimal' futility boundaries, especially compared to futility boundaries commonly applied in practice. Conclusions: As the properties of futility boundaries are often not considered in practice and unfavorably chosen futility boundaries may imply bad properties of the study design, we recommend assessing the performance of these boundaries according to the criteria proposed in here."
How Clinicians Perceive Artificial Intelligence-Assisted Technologies in Diagnostic Decision Making: Mixed Methods Approach,JOURNAL OF MEDICAL INTERNET RESEARCH,"Background: With the rapid development of artificial intelligence (AI) and related technologies, AI algorithms are being embedded into various health information technologies that assist clinicians in clinical decision making. Objective: This study aimed to explore how clinicians perceive AI assistance in diagnostic decision making and suggest the paths forward for AI-human teaming for clinical decision making in health care. Methods: This study used a mixed methods approach, utilizing hierarchical linear modeling and sentiment analysis through natural language understanding techniques. Results: A total of 114 clinicians participated in online simulation surveys in 2020 and 2021. These clinicians studied family medicine and used AI algorithms to aid in patient diagnosis. Their overall sentiment toward AI-assisted diagnosis was positive and comparable with diagnoses made without the assistance of AI. However, AI-guided decision making was not congruent with the way clinicians typically made decisions in diagnosing illnesses. In a quantitative survey, clinicians reported perceiving current AI assistance as not likely to enhance diagnostic capability and negatively influenced their overall performance (beta=-0.421, P=.02). Instead, clinicians' diagnostic capabilities tended to be associated with well-known parameters, such as education, age, and daily habit of technology use on social media platforms. Conclusions: This study elucidated clinicians' current perceptions and sentiments toward AI-enabled diagnosis. Although the sentiment was positive, the current form of AI assistance may not be linked with efficient decision making, as AI algorithms are not well aligned with subjective human reasoning in clinical diagnosis. Developers and policy makers in health could gather behavioral data from clinicians in various disciplines to help align AI algorithms with the unique subjective patterns of reasoning that humans employ in clinical diagnosis."
Critical Thinking Skills of RNs: Exploring Demographic Determinants,JOURNAL OF CONTINUING EDUCATION IN NURSING,"Background: Previous studies of nurses' critical thinking skills that included demographic characteristics as determinants have been inconclusive. This study explored demographic determinants of critical thinking skills among nurses from public hospitals in Peninsular Malaysia. Method: This cross-sectional study included 549 nurses recruited via multistage cluster sampling. Nurses completed the demographic questionnaire and Health Sciences Reasoning Test (HSRT). Results: The majority of respondents failed to demonstrate critical thinking skills with a mean overall HSRT score of 13.8 (SD = 3.4). Educational qualifications (p = .003) and clinical specialties (p = .022) were significantly related to nurses' critical thinking skills. Years of clinical experience, age, and job ranking were not significant. Conclusion: The findings indicate a need to address the present curriculum in nursing education and to reinforce critical thinking skills in the nursing workforce. Future research on how nurses in Malaysia acquire critical thinking skills is needed."
Detection of endotracheal tube obstruction by analysis of the expiratory flow signal,INTENSIVE CARE MEDICINE,"Objective: Acute obstruction of endotracheal tubes (ETT) increases airway pressure, decreases tidal volume, increases the risk of dynamic :hyperinflation by prolonging the duration of passive expiration, and prevents reliable calculation of tracheal pressure. We propose a computer-assisted method for detecting ETT obstruction during controlled mechanical ventilation. The method only requires measurement of; the expiratory flow. Design: Computer simulation; prospective study in two cases; retrospective study in one case and in seven patients with the adult respiratory distress syndrome (ARDS). Setting: Laboratory of the Section of Experimental Anaesthesiology (University of Freiburg); surgical adult intensive care units in a university hospital (University of Basel) and in a university affiliated hospital (Zentralklinikum Augsburg). Patients: 3 patients with partial ETT or bronchial obstructions and 7 ARDS patients, Measurements and results: Expiratory flow was measured using a pneumotachograph and integrated to obtain expiratory volume. The time-constant of passive expiration (tau(E)) as a function of expired volume [tau(E)(V-E) function] was calculated from the expiratory volume/flow curve. We investigated the tau(E)(V-E) function of data obtained from: (1) computer simulation of mechanically ventilated homogeneous and inhomogeneous lungs intubated with ETTs of different sizes; (2) one patient with an artificial ETT obstruction of 7.5 and 25 % of the cross-sectional area of the ETT (case 1); (3) one patient with ETT obstruction due to secretions (case 2); (4) one patient with acute bronchial constriction (case 3); (5) seven ARDS patients who showed an increase in airway resistance of more than 2 cm H2O.s/l. It was found that an ETT obstruction caused an increase in tau(E) in early expiration (at high flow), whereas tau(E) in late expiration was virtually unchanged. The reason for this is the flow dependency of the increase in ETT resistance produced by ETT obstruction. Unlike ETT obstruction, an increase in pure airway resistance produced an increase in tau(E) throughout expiration. Conclusions: An ETT obstruction can be reliably distinguished from an increase in pure airway resistance by a characteristic pattern change in the tau(E)(V-E) function, which can be detected easily even by an automated pattern recognition system."
Advanced life support cardiac arrest scenario test evaluation,RESUSCITATION,"Background: The cardiac arrest scenario test (CASTest) is a central component of the assessment strategy on the Advanced Life Support Course. The aim of this study was to establish equivalence between the four different CASTest scenarios and investigate the impact of profession, candidate order and course centre on the pass rate. Materials and methods: This was a cluster randomised study. CASTest scenarios were randomly allocated to candidates stratified by course centre. Candidate demographics and performance were recorded on the criterion referenced check list along with the final assessment outcome (pass/fail). Differences in pass rates according scenario; profession, course centre and candidate order were examined by Chi-squared and multiple logistic regression. Results: Two thousand, four hundred and forty-nine assessments from 65 course centres were evaluated. There was no difference in pass rate between scenarios (average pass rate 74.4%). Pass rates according to course centre varied widely (40-93%, P < 0.0001) as did professional group (42-100%, P < 0.0001). The order that candidates took the test did not influence the pass rate. Conclusion: The CASTest assessment scenarios used during ALS testing appear equivalent in terms of difficulty. In contrast, the professional background of the candidate and centre at which the assessment is performed do significantly influence the likelihood of passing the assessment. Further evaluation of the reasons for differences between course centres is required. (C) 2007 Elsevier Ireland Ltd. All rights reserved."
ESR1 ligand-binding domain mutations in hormone-resistant breast cancer,NATURE GENETICS,"Seventy percent of breast cancers express estrogen receptor (ER), and most of these are sensitive to ER inhibition. However, many such tumors for unknown reasons become refractory to inhibition of estrogen action in the metastatic setting. We conducted a comprehensive genetic analysis of two independent cohorts of metastatic ER-positive breast tumors and identified mutations in ESR1 affecting the ligand-binding domain (LBD) in 14 of 80 cases. These included highly recurrent mutations encoding p.Tyr537Ser, p.Tyr537Asn and p.Asp538Gly alterations. Molecular dynamics simulations suggest that the structures of the Tyr537Ser and Asp538Gly mutants involve hydrogen bonding of the mutant amino acids with Asp351, thus favoring the agonist conformation of the receptor. Consistent with this model, mutant receptors drive ER-dependent transcription and proliferation in the absence of hormone and reduce the efficacy of ER antagonists. These data implicate LBD-mutant forms of ER in mediating clinical resistance to hormonal therapy and suggest that more potent ER antagonists may be of substantial therapeutic benefit."
Contextual information influences diagnosis accuracy and decision making in simulated emergency medicine emergencies,BMJ QUALITY & SAFETY,"Background It is well documented that adaptations in cognitive processes with increasing skill levels support decision making in multiple domains. We examined skill-based differences in cognitive processes in emergency medicine physicians, and whether performance was significantly influenced by the removal of contextual information related to a patient's medical history. Method Skilled (n=9) and less skilled (n=9) emergency medicine physicians responded to high-fidelity simulated scenarios under high-and low-context information conditions. Results Skilled physicians demonstrated higher diagnostic accuracy irrespective of condition, and were less affected by the removal of contextspecific information compared with less skilled physicians. The skilled physicians generated more options, and selected better quality options during diagnostic reasoning compared with less skilled counterparts. These cognitive processes were active irrespective of the level of contextspecific information presented, although highcontext information enhanced understanding of the patients' symptoms resulting in higher diagnostic accuracy. Conclusions Our findings have implications for scenario design and the manipulation of contextual information during simulation training."
The debate on hysteria.,REVUE NEUROLOGIQUE,"The debate on hysteria at the Societe de Neurologie in 1908 signed the official death certificate for Charcot's hysteria, which even in his day had started to come under attack. The article by Babinski in 1901 had delivered the coup de grace. The debate paints an astonishing picture of the medical world of the day, and also of hysteria, which would never again present the spectacular clinical picture seen up to that point Babinski, dominating the debate with his strong personality, prevented a discussion on the menial basis for hysteria, requested by several participants, in favour of pithiatism, which in his view offered an acceptable definition of hysteria. It is surprising that more was not made of the contradiction in terms in the expression auto-suggestion: and of the fact that Babinski was begging the question when he asserted that it could not be asserted that a patient had been subject to suggestion! This debate effectively banished hysteria from the columns of the neurological press, whose pages it had tended to overburden. it cannot however be blamed for not having made a positive contribution to our understanding of this neurosis which, even today, remains enigmatic. It does our Society credit to have ruled out for ethical reasons the hypothesis of simulation."
Virtual supersampling as post-processing step preserves the trabecular bone morphometry in human peripheral quantitative computed tomography scans,PLOS ONE,"In the clinical field of diagnosis and monitoring of bone diseases, high-resolution peripheral quantitative computed tomography (HR-pQCT) is an important imaging modality. It provides a resolution where quantitative bone morphometry can be extracted in vivo on patients. It is known that HR-pQCT provides slight differences in morphometric indices compared to the current standard approach micro-computed tomography (micro-CT). The most obvious reason for this is the restriction of the radiation dose and with this a lower image resolution. With advances in micro-CT evaluation techniques such as patient-specific remodeling simulations or dynamic bone morphometry, a higher image resolution would potentially also allow the application of such novel evaluation techniques to clinical HR-pQCT measurements. Virtual supersampling as post-processing step was considered to increase the image resolution of HR-pQCT scans. The hypothesis was that this technique preserves the structural bone morphometry. Supersampling from 82 mu m to virtual 41 mu m by trilinear interpolation of the grayscale values of 42 human cadaveric forearms resulted in strong correlations of structural parameters (R-2: 0.96-1.00). BV/TV was slightly overestimated (4.3%, R-2: 1.00) compared to the HR-pQCT resolution. Tb.N was overestimated (7.47%; R-2: 0.99) and Tb.Th was slightly underestimated (-4.20%; R-2: 0.98). The technique was reproducible with PE yocv between 1.96% (SMI) and 7.88% (Conn.D). In a clinical setting with 205 human forearms with or without fracture measured at 82 mu m resolution HR-pQCT, the technique was sensitive to changes between groups in all parameters (p < 0.05) except trabecular thickness. In conclusion, we demonstrated that supersampling preserves the bone morphometry from HR-pQCT scans and is reproducible and sensitive to changes between groups. Super-sampling can be used to investigate on the resolution dependency of HR-pQCT images and gain more insight into this imaging modality."
Progressive Autonomy in the Era of Increased Supervision,JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,"The observation of decreased resident autonomy, ultimately influencing the readiness of a new graduate to practice, has been supported with a number of recent surveys. This perceived lack of autonomy is felt to be due, in part, to many reasons, including duty-hour regulations, increased supervision requirements, patient safety measures, concern for complication rates, and other performance measures. Pressure on faculty members to have increased clinical productivity may not allow for more resident autonomy. Increased clinical exposure to improve resident independence may come from several suggested areas. First, restructuring the residency program to allow for more clinical time may be one way to improve education. Second, increased use of surgical simulation will allow for more experience to develop technical skills within a controlled environment. Surgical simulators can be used to acquire new skills and also as a means of assessing competence. Third, competency-based education (CBE) has been offered as a way to improve resident education. At its core, CBE offers criterion-based assessments for residents and faculty that allow for more frequent feedback."
VALIDATION OF NUMERICAL APPROACHES FOR ELECTROMAGNETIC CHARACTERIZATION OF MAGNETIC RESONANCE RADIOFREQUENCY COILS,PROGRESS IN ELECTROMAGNETICS RESEARCH M,"Numerical methods based on solutions of Maxwell's equations are usually adopted for the electromagnetic characterization of Magnetic Resonance (MR) Radiofrequency (RF) coils. In this context, many different numerical methods can be employed, including time domain methods, e.g., the Finite-Difference Time-Domain (FDTD), and frequency domain methods, e.g., the Finite Element Methods (FEM) and the Method of Moments (MoM). We provide a quantitative comparison of performances and a detailed evaluation of advantages and limitations of the aforementioned methods in the context of RF coil design for MR applications. Specifically, we analyzed three RF coils which are representative of current geometries for clinical applications: a 1.5 T proton surface coil; a 7 T dual tuned surface coil; a 7 T proton volume coil. The numerical simulation results have been compared with measurements, with excellent agreement in almost every case. However, the three methods differ in terms of required computing resources (memory and simulation time) as well as their ability to handle a realistic phantom model. For this reason, this work could provide a guide to select the most suitable method for each specific research and clinical applications at low and high field."
Cost-Effectiveness of Cinacalcet Hydrochloride for Hemodialysis Patients With Severe Secondary Hyperparathyroidism in Japan,AMERICAN JOURNAL OF KIDNEY DISEASES,"Background: Cinacalcet effectively reduces elevated levels of parathyroid hormone (PTH) in patients with secondary hyperparathyroidism (SHPT), even those with severe disease for whom parathyroidectomy can be the treatment of choice. The objective of this study was to estimate the cost-effectiveness of cinacalcet treatment in hemodialysis patients with severe SHPT in Japan. Study Design: Cost-effectiveness analysis. Setting & Population: Patients with severe SHPT (intact PTH >500 pg/mL) who were receiving hemodialysis in Japan. Model, Perspective,& Timeframe: A Markov model was constructed from the health care system perspective in Japan. Patients were followed up over their lifetime. Dialysis costs were not included in the base case. Intervention: Cinacalcet as an addition to conventional treatment compared to conventional treatment alone. In both arms, patients underwent parathyroidectomy if intact PTH level was >500 pg/mL for 6 months and they were eligible for surgery. Outcomes: Costs, quality-adjusted life-years (QALYs), and incremental cost-effectiveness ratios (ICERs). Results: ICERs for cinacalcet for those who were eligible for surgery and those who were not were $352,631/QALY gained and $21,613/QALY gained, respectively. Sensitivity and scenario analyses showed that results were fairly robust to variations in model parameters and assumptions. In the probabilistic sensitivity analysis, cinacalcet was cost-effective in only 0.9% of simulations for those eligible for surgery, but in more than 99.9% of simulations for those ineligible for surgery, if society would be willing to pay $50,000 per additional QALY. Limitations: Data for the long-term effect of cinacalcet on patient-level outcomes are limited. The model predicted rates for clinical events using data for the surrogate biochemical end points. Conclusions: The use of cinacalcet to treat severe SHPT is likely to be cost-effective for only those who cannot undergo parathyroid surgery for medical or personal reasons. Am J Kidney Dis. 60(2):262-271. (C) 2012 by the National Kidney Foundation, Inc."
Evaluating Surgical Residents' Patient-Centered Communication Skills: Practical Alternatives to the Apprenticeship Model,JOURNAL OF SURGICAL EDUCATION,"OBJECTIVES: The Accreditation Council for Graduate Medical Education (ACGME) requires residency programs to assess communication skills and provide feedback to residents. We aimed to develop a feasible data collection process that generates objective clinical performance information to guide training activities, inform ACGME milestone evaluations, and validate assessment instruments. DESIGN: Residents care for patients in the surgical clinic and in the hospital, and participate in a communication curriculum providing practice with standardized patients (SPs). We measured perception of resident communication using the 14-item Communication Assessment Tool (CAT), collecting data from patients at the surgery clinic and surgical wards in the hospital, and from SP encounters during simulated training scenarios. We developed a handout of CAT example behaviors to guide patients completing the communication assessment. SETTING: Independent academic medical center. PARTICIPANTS: General surgery residents. RESULTS: The primary outcome is the percentage of total items patients rated excellent; we collected data on 24 of 25 residents. Outpatient evaluations resulted in significantly higher scores (mean 84.5% vs. 68.6%, p < 0.001), and female patients provided nearly statistically significantly higher ratings (mean 85.2% vs. 76.7%, p = 0.084). In multivariate analysis, after controlling for patient gender, visit reason, and race, (1) residents' CAT scores from SPs in simulation were independently associated with communication assessments in their concurrent patient population (p = 0.017), and (2) receiving CAT example instructions was associated with a lower percentage of excellent ratings by 9.3% (p = 0.047). CONCLUSIONS: Our data collection process provides a model for obtaining meaningful information about resident communication proficiency. CAT evaluations of surgical residents by the inpatient population had not previously been described in the literature; our results provide important insight into relationships between the evaluations provided by inpatients, clinic patients, and SPs in simulation. Our example behaviors guide shows promise for addressing a common concern, minimizing ceiling effects when measuring physician-patient communication. (C) 2017 Association of Program Directors in Surgery. Published by Elsevier Inc. All rights reserved."
Using Artificial Intelligence and Gaming to Improve New Nurse Transition,NURSE LEADER,"New nurses transitioning to practice must develop clinical reasoning skills enabling safe patient care delivery. Time and exposure necessary to develop expert-situated cognition present a challenge for new nurses. Educational interventions have been proposed as solutions in a complex, cognitively and emotionally demanding environment. Artificial intelligence technology may provide innovative approaches to influence cognitive development. Preliminary pilot study data evaluating virtual reality (VR) simulation education for new nurses recognizing and responding to respiratory decline in hospitalized infants are remarkable. Data suggest that new nurse learners are responsive and receptive to VR education, and VR training may be more effective than traditional teaching modalities in some situations."
TELEHEALTH: An Innovative Educational and Instructional Strategy to Develop Clinical Decision-Making in Physical Therapist Practice,"CLINICAL REASONING AND DECISION-MAKING IN PHYSICAL THERAPY: FACILITATION, ASSESSMENT, AND IMPLEMENTATION",
Pharmacokinetic-pharmacodynamic relationships of the anthracycline anticancer drugs,CLINICAL PHARMACOKINETICS,"The anthracycline glycoside antibiotics represent a group of potent anticancer agents with a wide spectrum of activity against solid tumours and haematological malignancies, and are the mainstay of a large number of clinical protocols for the treatment of adult and childhood neoplastic diseases. Their clinical activity is limited, however, by acute and chronic adverse effects. Myelosuppression, predominantly neutropenia and leucopenia, is the dose-limiting toxicity: in addition to this, mucositis, nausea, vomiting and alopecia are frequent, whereas hepatopathy, characterised by elevated bilirubin concentrations, occurs less frequently. Cardiotoxicity is a major adverse effect of the anthracycline antibiotics and can be acute or chronic; in the acute setting, electrocardiographic abnormalities may be seen, including ST-T elevations and arrhythmias, but chronic cardiotoxicity represents a serious adverse effect that may be lethal due to the development of irreversible, cumulative dose-dependent, congestive cardiomyopathy. The occurrence of toxicity displays a marked interindividual variation, and for this reason the pharmacokinetics and pharmacodynamics of anthracyclines have been extensively investigated in order to identify integrated models that can be used in the clinical setting to prevent the development of serious toxicity, mainly leucopenia, and maximise tumour exposure. Pharmacokinetics has been recognised to influence both the toxicity and the activity of anthracyclines; in particular, there is increasing evidence that the mode of administration plays an important role for cumulative cardiotoxicity and data indicate that bolus administration, rather than continuous infusion, appears to be an important risk factor for anthracycline-induced cardiomyopathy. thus implying that this type of toxicity is maximum concentration-dependent. On the contrary. exposure to the drug, as measured by area under the curve, seems best related to the occurrence of leucopenia. Finally. the development of pharmacokinetic-pharmacodynamic models allows the simulation of drug effects and ultimately dose optimisation in order to anticipate important toxicities and prevent their occurrence by the administration of prophylactic treatments."
Smoking Cessation and the Internet: A Qualitative Method Examining Online Consumer Behavior,JOURNAL OF MEDICAL INTERNET RESEARCH,"Background: Smoking is a major preventable cause of disease and disability around the world. Smoking cessation support including information, discussion groups, cognitive behavioral treatment, and self-help materials - can be delivered via the Internet. There is limited information about the reasons and methods consumers access smoking cessation information on the Internet. Objectives: This study aims to determine the feasibility of a method to examine the online behavior of consumers seeking smoking cessation resources. In particular, we sought to identify the reasons and methods consumers use to access and assess the quality of these resources. Methods: Thirteen participants were recruited via the state-based Quit (R) smoking cessation campaign, operated by the Victorian Cancer Council, in December 2001. Online behavior was evaluated using semi-structured interviews and Internet simulations where participants sought smoking cessation information and addressed set-case scenarios. Online interaction was tracked through pervasive logging with specialist software. Results: Thirteen semi-structured interviews and 4 Internet simulations were conducted in January 2002. Participants sought online smoking cessation resources for reasons of convenience, timeliness, and anonymity - and because their current information needs were unmet. They employed simple search strategies and could not always find information in an efficient manner. Participants employed several different strategies to assess the quality of online health resources. Conclusions: Consumer online behavior can be studied using a combination of survey, observation, and online surveillance. However, further qualitative and observational research is required to harness the full potential of the Internet to deliver public health resources."
Dependent censoring in piecewise exponential survival models,STATISTICAL METHODS IN MEDICAL RESEARCH,"There are often reasons to suppose that there is dependence between the time to event and time to censoring, or dependent censoring, for survival data, particularly when considering medical data. This is because the decision to treat or not is often made according to prognosis, usually with the most ill patients being prioritised. Due to identifiability issues, sensitivity analyses are often used to assess whether independent censoring can lead to misleading results. In this paper, a sensitivity analysis method for piecewise exponential survival models is presented. This method assesses the sensitivity of the results of standard survival models to small amounts of dependence between the time to failure and time to censoring variables. It uses the same assumption about the dependence between the time to failure and time to censoring as previous sensitivity analyses for both standard parametric survival models and the Cox model. However, the method presented in this paper allows the use of more flexible models for the marginal distributions whilst remaining computationally simple. A simulation study is used to assess the accuracy of the sensitivity analysis method and identify the situations in which it is suitable to use this method. The study found that the sensitivity analysis performs well in many situations, but not when the data have a high proportion of censoring."
A robust TDT-type association test under informative parental missingness,STATISTICS IN MEDICINE,"Many family-based association tests rely on the random transmission of alleles from parents to offspring. Among them, the transmission/disequilibrium test (TDT) may be considered to be the most popular statistical test. The TDT statistic and its variations were proposed to evaluate nonrandom transmission of alleles from parents to the diseased children. However, in family studies, parental genotypes may be missing due to parental death, loss, divorce, or other reasons. Under some missingness conditions, nonrandom transmission of alleles may still occur even when the gene and disease are not associated. As a consequence, the usual TDT-type tests would produce excessive false positive conclusions in association studies. In this paper, we propose a novel TDT-type association test which is not only simple in computation but also robust to the joint effect of population stratification and informative parental missingness. Our test is model-free and allows for different mechanisms of parental missingness across subpopulations. We use a simulation study to compare the performance of the new test with TDT and point out the advantage of the new method. Copyright (C) 2010 John Wiley & Sons, Ltd."
Regularized approach for data missing not at random,STATISTICAL METHODS IN MEDICAL RESEARCH,"It is common in longitudinal studies that missing data occur due to subjects' no response, missed visits, dropout, death or other reasons during the course of study. To perform valid analysis in this setting, data missing not at random (MNAR) have to be considered. However, models for data MNAR often suffer from the identifiability issue and hence result in difficulty in estimation and computational convergence. To ameliorate this issue, we propose the LASSO and ridge-regularized selection models that regularize the missing data mechanism model to handle data MNAR, with the regularization parameter selected via a cross-validation procedure. The proposed models can be also employed for sensitivity analysis to examine the effects on inference of different assumptions about the missing data mechanism. We illustrate the performance of the proposed models via simulation studies and the analysis of data from a randomized clinical trial."
Bipolar Electrogram Shannon Entropy at Sites of Rotational Activation Implications for Ablation of Atrial Fibrillation,CIRCULATION-ARRHYTHMIA AND ELECTROPHYSIOLOGY,"Background- The pivot is critical to rotors postulated to maintain atrial fibrillation (AF). We reasoned that wavefronts circling the pivot should broaden the amplitude distribution of bipolar electrograms because of directional information encoded in these signals. We aimed to determine whether Shannon entropy (ShEn), a measure of signal amplitude distribution, could differentiate the pivot from surrounding peripheral regions and thereby assist clinical rotor mapping. Methods and Results- Bipolar electrogram recordings were studied in 4 systems: (1) computer simulations of rotors in a 2-dimensional atrial sheet; (2) isolated rat atria recorded with a multi-electrode array (n=12); (3) epicardial plaque recordings of induced AF in hypertensive sheep (n=11); and (4) persistent AF patients (n=10). In the model systems, rotation episodes were identified, and ShEn calculated as an index of amplitude distribution. In humans, ShEn distribution was analyzed at AF termination sites and with respect to complex fractionated electrogram mean. We analyzed rotation episodes in simulations (4 cycles) and animals (rats: 14 rotors, duration 80 +/- 81 cycles; sheep: 13 rotors, 4.2 +/- 1.5 cycles). The maximum ShEn bipole was consistently colocated with the pivot zone. ShEn was negatively associated with distance from the pivot zone in simulated spiral waves, rats, and sheep. ShEn was modestly inversely associated with complex fractionated electrogram; however, there was no relationship at the sites of highest ShEn. Conclusions- ShEn is a mechanistically based tool that may assist AF rotor mapping."
